DATA_SOURCE_CODE	レベル	部品番号	親部品番号	部品名称	PART_NO	PART_REV	員数	材質	板厚	重量	モデル重量	コンポーネント名	モデル名	DESCRIPTION	サフィックス	UPC	EC_NUMBERS	設通NO	採用年月日	リリース年月日	変更区分	先行区分	部品支給区分	TOP_ASM_NO	TOP_ASM_REV	件数	ソートレベル	ENGDAT
ISZ	0	7552208190	          	FRAME ASM                                         	55220819	002	1	N/A                           				                                                  	                              	755220819 VK04_NKR1SN_-FF0_H-WB_4JZ1_DCT_SR6_8PZ_RS6_3C/M TL;1046_F59_GN1_5.3t_TEMP;BNK40006                                                          				4K5796  			A                             			55220819  	002	2845	1057	UG_7552208191_4K5796_250311.xml
ISZ	1	9067510300	7552208190	RIVET;RD-HD,CHAM-PNT                              	94004980	001	2	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220819  	002	2847	1058	UG_7552208191_4K5796_250311.xml
ISZ	1	55194326	7552208190	BRKT;CAB EARTH                                    	55194326	002	1	N/A                           				                                                  	                              	755194326                                                                                                                                             			4JKG95              	4K5796  			A                             			55220819  	002	2848	1059	UG_7552208191_4K5796_250311.xml
ISZ	2	55202303	55194326	BRACKET                                           	55202303	001	1	JSH270C                       				                                                  	                              	CAS51186                                                                                                                                              				4K5796  			A                             			55220819  	002	2852	1060	UG_7552208191_4K5796_250311.xml
ISZ	2	0911105080	55194326	NUT;HEXAGON,METRIC                                	94011995	002	1	S45C,S48C,S50C                				                                                  	                              	091110508 ISD-C10-501 M8x1.25                                                                                                                         				4K5796  			A                             			55220819  	002	2849	1061	UG_7552208191_4K5796_250311.xml
ISZ	2	CAS46155	55194326	NO_PNO_BRKT                                       	CAS46155	001	1	JSH270C                       				                                                  	                              	CAS46155                                                                                                                                              				4K5796  			A                             			55220819  	002	2850	1062	UG_7552208191_4K5796_250311.xml
ISZ	2	CAS46157	55194326	WELD                                              	CAS46157	001	1	N/A                           				                                                  	                              	CAS46157                                                                                                                                              			4JKG95              	4K5796  			A                             			55220819  	002	2851	1063	UG_7552208191_4K5796_250311.xml
ISZ	2	CAS46160	55194326	NO_PNO_BRKT                                       	CAS46160	001	1	JSH270C                       				                                                  	                              	CAS46160                                                                                                                                              				4K5796  			A                             			55220819  	002	2853	1064	UG_7552208191_4K5796_250311.xml
ISZ	1	0209514300	7552208190	BOLT;HEX-HD,FULL THREAD                           	94012445	001	10	ASMnB422H                     				                                                  	                              	020951430 ISD-C01-503 M14x1.5                                                                                                                         				4K5796  		2-Dec-02	A                             			55220819  	002	2858	1065	UG_7552208191_4K5796_250311.xml
ISZ	1	CAS39001	7552208190	WELD_ARC;BRKT CAB EARTH,RH                        	CAS39001	001	1	YOUSETSU                      				                                                  	                              	NO_PNO VK00_1X_SMBR;T4.0                                                                                                                              				4K5796  			A                             			55220819  	002	2854	1066	UG_7552208191_4K5796_250311.xml
ISZ	1	8972799940	7552208190	CROSSMEMBER ASM;3RD,UPR                           	97279994	001	1	N/A                           				                                                  	                              	897279994 DWG_897841366Z VK00 STD700_4X2 W/O_PAINT                                                                                                    				4K5796  			A                             			55220819  	002	2865	1067	UG_7552208191_4K5796_250311.xml
ISZ	2	9067510240	8972799940	RIVET;RD-HD,CHAM-PNT                              	94006174	001	9	S12C,SWCH12A,-K               				                                                  	                              	906751024 ISD-E01-001 d10xL24                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220819  	002	2870	1068	UG_7552208191_4K5796_250311.xml
ISZ	2	8978417071	8972799940	CROSSMEMBER;3RD,UPR                               	97841707	002	1	JSH590R-OP                    				                                                  	                              	897841707 VK00 LWF700 STD700_4X2                                                                                                                      				4K5796  			A                             			55220819  	002	2866	1069	UG_7552208191_4K5796_250311.xml
ISZ	2	8978417191	8972799940	PLATE;3RD C/MBR,UPR                               	97841719	002	1	JSH440W-OP                    				                                                  	                              	897841719 DWG_897841718Z VK00 700W                                                                                                                    				4K5796  			A                             			55220819  	002	2867	1070	UG_7552208191_4K5796_250311.xml
ISZ	1	9067510220	7552208190	RIVET;RD-HD,CHAM-PNT                              	94004978	001	4	S12,SWCH12A-SWCH12K           				                                                  	                              	906751022 ISD-E01-001 d10XL22                                                                                                                         				4K5796  		00-Jan-0	A                             			55220819  	002	2881	1071	UG_7552208191_4K5796_250311.xml
