DATA_SOURCE_CODE	レベル	部品番号	親部品番号	部品名称	PART_NO	PART_REV	員数	材質	板厚	重量	モデル重量	コンポーネント名	モデル名	DESCRIPTION	サフィックス	UPC	EC_NUMBERS	設通NO	採用年月日	リリース年月日	変更区分	先行区分	部品支給区分	TOP_ASM_NO	TOP_ASM_REV	件数	ソートレベル	ENGDAT
ISZ	0	7552208150	          	FRAME ASM                                         	55220815	002	1	N/A                           				                                                  	                              	755220815 VK04_NKR1SN_&FF0_H-WB_4JZ1_MT_6GL_8GR_8PZ_3C/M TL;1046_4t_TEMP;BNK40001                                                                     				4K5796  			A                             			55220815  	002	961	362	UG_7552208151_4K5796_250311.xml
ISZ	1	9067510300	7552208150	RIVET;RD-HD,CHAM-PNT                              	94004980	001	2	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K5796  			A                             			55220815  	002	963	363	UG_7552208151_4K5796_250311.xml
ISZ	1	CAS39001	7552208150	WELD_ARC;BRKT CAB EARTH,RH                        	CAS39001	001	1	YOUSETSU                      				                                                  	                              	NO_PNO VK00_1X_SMBR;T4.0                                                                                                                              				4K5796  			A                             			55220815  	002	964	364	UG_7552208151_4K5796_250311.xml
ISZ	1	55194326	7552208150	BRKT;CAB EARTH                                    	55194326	002	1	N/A                           				                                                  	                              	755194326                                                                                                                                             			4JKG95              	4K5796  			A                             			55220815  	002	965	365	UG_7552208151_4K5796_250311.xml
ISZ	2	55202303	55194326	BRACKET                                           	55202303	001	1	JSH270C                       				                                                  	                              	CAS51186                                                                                                                                              				4K5796  			A                             			55220815  	002	969	366	UG_7552208151_4K5796_250311.xml
ISZ	2	0911105080	55194326	NUT;HEXAGON,METRIC                                	94011995	002	1	S45C,S48C,S50C                				                                                  	                              	091110508 ISD-C10-501 M8x1.25                                                                                                                         				4K5796  			A                             			55220815  	002	966	367	UG_7552208151_4K5796_250311.xml
ISZ	2	CAS46155	55194326	NO_PNO_BRKT                                       	CAS46155	001	1	JSH270C                       				                                                  	                              	CAS46155                                                                                                                                              				4K5796  			A                             			55220815  	002	967	368	UG_7552208151_4K5796_250311.xml
ISZ	2	CAS46157	55194326	WELD                                              	CAS46157	001	1	N/A                           				                                                  	                              	CAS46157                                                                                                                                              			4JKG95              	4K5796  			A                             			55220815  	002	968	369	UG_7552208151_4K5796_250311.xml
ISZ	2	CAS46160	55194326	NO_PNO_BRKT                                       	CAS46160	001	1	JSH270C                       				                                                  	                              	CAS46160                                                                                                                                              				4K5796  			A                             			55220815  	002	970	370	UG_7552208151_4K5796_250311.xml
ISZ	1	0209514300	7552208150	BOLT;HEX-HD,FULL THREAD                           	94012445	001	10	ASMnB422H                     				                                                  	                              	020951430 ISD-C01-503 M14x1.5                                                                                                                         				4K5796  		2-Dec-02	A                             			55220815  	002	971	371	UG_7552208151_4K5796_250311.xml
