DATA_SOURCE_CODE	レベル	部品番号	親部品番号	部品名称	PART_NO	PART_REV	員数	材質	板厚	重量	モデル重量	コンポーネント名	モデル名	DESCRIPTION	サフィックス	UPC	EC_NUMBERS	設通NO	採用年月日	リリース年月日	変更区分	先行区分	部品支給区分	TOP_ASM_NO	TOP_ASM_REV	件数	ソートレベル	ENGDAT
ISZ	0	7552208081	          	FRAME ASM                                         	55220808	003	1	N/A                           				                                                  	                              	755220808 VK04_NKR1SE_&FF0_F-WB_4JZ1_DCT_6GL_8GR_8PZ_3C/M TL;1046_5.3t_TEMP;BNK40004                                                                  				4K5796  			A                             			55220808  	003	24768	9488	UG_7552208082_4K5796_250311.xml
ISZ	1	9067510220	7552208081	RIVET;RD-HD,CHAM-PNT                              	94004978	001	4	S12,SWCH12A-SWCH12K           				                                                  	                              	906751022 ISD-E01-001 d10XL22                                                                                                                         				4K5796  		00-Jan-0	A                             			55220808  	003	24781	9489	UG_7552208082_4K5796_250311.xml
ISZ	1	9067510300	7552208081	RIVET;RD-HD,CHAM-PNT                              	94004980	001	2	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K5796  			A                             			55220808  	003	24783	9490	UG_7552208082_4K5796_250311.xml
ISZ	1	8972070970	7552208081	BRACKET;RR BODY MTG                               	97207097	003	6	JSH440J                       				                                                  	                              	897207097 UPC=2B DWG_898037148Z                                                                                                                       		2B   		4K5796  			A                             			55220808  	003	24777	9491	UG_7552208082_4K5796_250311.xml
ISZ	1	8980386530	7552208081	BRACKET;RR BODY MTG                               	98038653	001	2	JSH440J                       				                                                  	                              	898038653 UPC=2B DWG_898039147Z                                                                                                                       		2B   		4K5796  			A                             			55220808  	003	24776	9492	UG_7552208082_4K5796_250311.xml
ISZ	1	CAS39001	7552208081	WELD_ARC;BRKT CAB EARTH,RH                        	CAS39001	001	1	YOUSETSU                      				                                                  	                              	NO_PNO VK00_1X_SMBR;T4.0                                                                                                                              				4K5796  			A                             			55220808  	003	24784	9493	UG_7552208082_4K5796_250311.xml
ISZ	1	CBD41366	7552208081	WELD;RR BODY MTG                                  	CBD41366	001	1	YOUSETSU                      				                                                  	                              	NO_PNO                                                                                                                                                				4K5796  			A                             			55220808  	003	24770	9494	UG_7552208082_4K5796_250311.xml
ISZ	1	55194326	7552208081	BRKT;CAB EARTH                                    	55194326	002	1	N/A                           				                                                  	                              	755194326                                                                                                                                             			4JKG95              	4K5796  			A                             			55220808  	003	24785	9495	UG_7552208082_4K5796_250311.xml
ISZ	2	55202303	55194326	BRACKET                                           	55202303	001	1	JSH270C                       				                                                  	                              	CAS51186                                                                                                                                              				4K5796  			A                             			55220808  	003	24789	9496	UG_7552208082_4K5796_250311.xml
ISZ	2	0911105080	55194326	NUT;HEXAGON,METRIC                                	94011995	002	1	S45C,S48C,S50C                				                                                  	                              	091110508 ISD-C10-501 M8x1.25                                                                                                                         				4K5796  			A                             			55220808  	003	24786	9497	UG_7552208082_4K5796_250311.xml
ISZ	2	CAS46155	55194326	NO_PNO_BRKT                                       	CAS46155	001	1	JSH270C                       				                                                  	                              	CAS46155                                                                                                                                              				4K5796  			A                             			55220808  	003	24787	9498	UG_7552208082_4K5796_250311.xml
ISZ	2	CAS46157	55194326	WELD                                              	CAS46157	001	1	N/A                           				                                                  	                              	CAS46157                                                                                                                                              			4JKG95              	4K5796  			A                             			55220808  	003	24788	9499	UG_7552208082_4K5796_250311.xml
ISZ	2	CAS46160	55194326	NO_PNO_BRKT                                       	CAS46160	001	1	JSH270C                       				                                                  	                              	CAS46160                                                                                                                                              				4K5796  			A                             			55220808  	003	24790	9500	UG_7552208082_4K5796_250311.xml
ISZ	1	0209514300	7552208081	BOLT;HEX-HD,FULL THREAD                           	94012445	001	10	ASMnB422H                     				                                                  	                              	020951430 ISD-C01-503 M14x1.5                                                                                                                         				4K5796  		2-Dec-02	A                             			55220808  	003	24800	9501	UG_7552208082_4K5796_250311.xml
ISZ	1	8972799940	7552208081	CROSSMEMBER ASM;3RD,UPR                           	97279994	001	1	N/A                           				                                                  	                              	897279994 DWG_897841366Z VK00 STD700_4X2 W/O_PAINT                                                                                                    				4K5796  			A                             			55220808  	003	24801	9502	UG_7552208082_4K5796_250311.xml
ISZ	2	9067510240	8972799940	RIVET;RD-HD,CHAM-PNT                              	94006174	001	9	S12C,SWCH12A,-K               				                                                  	                              	906751024 ISD-E01-001 d10xL24                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220808  	003	24812	9503	UG_7552208082_4K5796_250311.xml
ISZ	2	8978417071	8972799940	CROSSMEMBER;3RD,UPR                               	97841707	002	1	JSH590R-OP                    				                                                  	                              	897841707 VK00 LWF700 STD700_4X2                                                                                                                      				4K5796  			A                             			55220808  	003	24802	9504	UG_7552208082_4K5796_250311.xml
ISZ	2	8978417191	8972799940	PLATE;3RD C/MBR,UPR                               	97841719	002	1	JSH440W-OP                    				                                                  	                              	897841719 DWG_897841718Z VK00 700W                                                                                                                    				4K5796  			A                             			55220808  	003	24803	9505	UG_7552208082_4K5796_250311.xml
ISZ	1	9067510260	7552208081	RIVET;RD-HD,CHAM-PNT                              	94004979	001	11	S12C,SWCH12A,-K               				                                                  	                              	906751026 ISD-E01-001 d10xL26                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220808  	003	24841	9506	UG_7552208082_4K5796_250311.xml
ISZ	1	9067510300	7552208081	RIVET;RD-HD,CHAM-PNT                              	94004980	001	6	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K5796  			A                             			55220808  	003	24847	9507	UG_7552208082_4K5796_250311.xml
