DATA_SOURCE_CODE	レベル	部品番号	親部品番号	部品名称	PART_NO	PART_REV	員数	材質	板厚	重量	モデル重量	コンポーネント名	モデル名	DESCRIPTION	サフィックス	UPC	EC_NUMBERS	設通NO	採用年月日	リリース年月日	変更区分	先行区分	部品支給区分	TOP_ASM_NO	TOP_ASM_REV	件数	ソートレベル	ENGDAT
ISZ	0	7552207640	          	FRAME ASM                                         	55220764	002	1	N/A                           				                                                  	                              	755220764 VK04_NKR1SN_-FF0_F-WB_4JZ1_MT_6GL_8GR_8PZ_3C/M TL;1046_F59_5.3t_TEMP;BNK40006                                                               				4K5796  			A                             			55220764  	002	6823	2552	UG_7552207641_4K5796_250312.xml
ISZ	1	9067510300	7552207640	RIVET;RD-HD,CHAM-PNT                              	94004980	001	2	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K5796  			A                             			55220764  	002	6825	2553	UG_7552207641_4K5796_250312.xml
ISZ	1	55194326	7552207640	BRKT;CAB EARTH                                    	55194326	002	1	N/A                           				                                                  	                              	755194326                                                                                                                                             			4JKG95              	4K5796  			A                             			55220764  	002	6826	2554	UG_7552207641_4K5796_250312.xml
ISZ	2	55202303	55194326	BRACKET                                           	55202303	001	1	JSH270C                       				                                                  	                              	CAS51186                                                                                                                                              				4K5796  			A                             			55220764  	002	6830	2555	UG_7552207641_4K5796_250312.xml
ISZ	2	0911105080	55194326	NUT;HEXAGON,METRIC                                	94011995	002	1	S45C,S48C,S50C                				                                                  	                              	091110508 ISD-C10-501 M8x1.25                                                                                                                         				4K5796  			A                             			55220764  	002	6827	2556	UG_7552207641_4K5796_250312.xml
ISZ	2	CAS46155	55194326	NO_PNO_BRKT                                       	CAS46155	001	1	JSH270C                       				                                                  	                              	CAS46155                                                                                                                                              				4K5796  			A                             			55220764  	002	6828	2557	UG_7552207641_4K5796_250312.xml
ISZ	2	CAS46157	55194326	WELD                                              	CAS46157	001	1	N/A                           				                                                  	                              	CAS46157                                                                                                                                              			4JKG95              	4K5796  			A                             			55220764  	002	6829	2558	UG_7552207641_4K5796_250312.xml
ISZ	2	CAS46160	55194326	NO_PNO_BRKT                                       	CAS46160	001	1	JSH270C                       				                                                  	                              	CAS46160                                                                                                                                              				4K5796  			A                             			55220764  	002	6831	2559	UG_7552207641_4K5796_250312.xml
ISZ	1	0209514300	7552207640	BOLT;HEX-HD,FULL THREAD                           	94012445	001	10	ASMnB422H                     				                                                  	                              	020951430 ISD-C01-503 M14x1.5                                                                                                                         				4K5796  		2-Dec-02	A                             			55220764  	002	6842	2560	UG_7552207641_4K5796_250312.xml
ISZ	1	CAS39001	7552207640	WELD_ARC;BRKT CAB EARTH,RH                        	CAS39001	001	1	YOUSETSU                      				                                                  	                              	NO_PNO VK00_1X_SMBR;T4.0                                                                                                                              				4K5796  			A                             			55220764  	002	6832	2561	UG_7552207641_4K5796_250312.xml
ISZ	1	8972799940	7552207640	CROSSMEMBER ASM;3RD,UPR                           	97279994	001	1	N/A                           				                                                  	                              	897279994 DWG_897841366Z VK00 STD700_4X2 W/O_PAINT                                                                                                    				4K5796  			A                             			55220764  	002	6843	2562	UG_7552207641_4K5796_250312.xml
ISZ	2	9067510240	8972799940	RIVET;RD-HD,CHAM-PNT                              	94006174	001	9	S12C,SWCH12A,-K               				                                                  	                              	906751024 ISD-E01-001 d10xL24                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220764  	002	6854	2563	UG_7552207641_4K5796_250312.xml
ISZ	2	8978417071	8972799940	CROSSMEMBER;3RD,UPR                               	97841707	002	1	JSH590R-OP                    				                                                  	                              	897841707 VK00 LWF700 STD700_4X2                                                                                                                      				4K5796  			A                             			55220764  	002	6844	2564	UG_7552207641_4K5796_250312.xml
ISZ	2	8978417191	8972799940	PLATE;3RD C/MBR,UPR                               	97841719	002	1	JSH440W-OP                    				                                                  	                              	897841719 DWG_897841718Z VK00 700W                                                                                                                    				4K5796  			A                             			55220764  	002	6845	2565	UG_7552207641_4K5796_250312.xml
ISZ	1	9067510220	7552207640	RIVET;RD-HD,CHAM-PNT                              	94004978	001	4	S12,SWCH12A-SWCH12K           				                                                  	                              	906751022 ISD-E01-001 d10XL22                                                                                                                         				4K5796  		00-Jan-0	A                             			55220764  	002	6860	2566	UG_7552207641_4K5796_250312.xml
ISZ	1	9067510260	7552207640	RIVET;RD-HD,CHAM-PNT                              	94004979	001	1	S12C,SWCH12A,-K               				                                                  	                              	906751026 ISD-E01-001 d10xL26                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220764  	002	6861	2567	UG_7552207641_4K5796_250312.xml
ISZ	1	9067510300	7552207640	RIVET;RD-HD,CHAM-PNT                              	94004980	001	1	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K5796  			A                             			55220764  	002	6863	2568	UG_7552207641_4K5796_250312.xml
ISZ	1	9067508260	7552207640	RIVET;RD-HD,CHAM-PNT                              	94006173	001	2	S12C,SWCH12A,-K               				                                                  	                              	906750826 ISD-E01-001 d8xL26                                                                                                                          				4K5796  		00-Jan-0000	A                             			55220764  	002	6855	2569	UG_7552207641_4K5796_250312.xml
ISZ	1	0913700080	7552207640	NUT;SELF LOCK,HEX                                 	94012028	002	2	S45C,S48C,S50C                				                                                  	                              	091370008 ISD-C10-500 M8x1.25                                                                                                                         				4K5796  		5-Dec-03	A                             			55220764  	002	6865	2570	UG_7552207641_4K5796_250312.xml
ISZ	1	8982436040	7552207640	BRACKET;RR SPRING FRT                             	98243604	001	2	N/A                           				                                                  	                              	898243604 UPC=2B DWG_898243576Z                                                                                                                       				4K5796  			A                             			55220764  	002	6864	2571	UG_7552207641_4K5796_250312.xml
ISZ	1	BQH39019	7552207640	WELD;CRUSH BOX,1X_4X2                             	BQH39019	006	1	YOUSETSU                      				                                                  	                              	1X_4X2                                                                                                                                                				4K5796  			A                             			55220764  	002	6867	2572	UG_7552207641_4K5796_250312.xml
ISZ	1	CAG19134	7552207640	WELD_ARC;FRAME,FT T5.3 4X2 1X                     	CAG19134	001	1	YOUSETSU                      				                                                  	                              	VK00 T5.3 4X2 1X                                                                                                                                      				4K5796  			A                             			55220764  	002	6868	2573	UG_7552207641_4K5796_250312.xml
ISZ	1	7551982350	7552207640	BOX ASM;FRAME,FRONT,CRUSH,RH                      	55198235	001	1	N/A                           				                                                  	                              	755198235_UPC;2B_1X_VK00_DWG_897846029Z                                                                                                               			4JKE20              	4K5796  			A                             			55220764  	002	6869	2574	UG_7552207641_4K5796_250312.xml
ISZ	2	55198234	7551982350	PLATE;REAR,CRUSH BOX                              	55198234	001	1	JSH440W-OP                    				                                                  	                              	55198232                                                                                                                                              				4K5796  			A                             			55220764  	002	6877	2575	UG_7552207641_4K5796_250312.xml
ISZ	2	9091140700	7551982350	NUT;WELD,PROJECTION,TYPE D                        	94005387	003	2	S45C,S48C,S50C                				                                                  	                              	909114070,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220764  	002	6876	2576	UG_7552207641_4K5796_250312.xml
ISZ	2	9096445090	7551982350	NUT;WELD                                          	94031065	003	1	8N                            				                                                  	                              	909644509 UPC;2B                                                                                                                                      		2B   		4K5796  			A                             			55220764  	002	6874	2577	UG_7552207641_4K5796_250312.xml
ISZ	2	8978458790	7551982350	PLATE;FRONT,CRUSH BOX                             	97845879	001	1	JSH440W-OP                    				                                                  	                              	8978458790_UPC;2B_1X_VK00                                                                                                                             			ECN038929ISZ        	4K5796  			A                             			55220764  	002	6873	2578	UG_7552207641_4K5796_250312.xml
ISZ	2	8978458810	7551982350	PAD;CUSHION                                       	97845881	001	2	JSH780R-OP                    				                                                  	                              	8978458810_UPC;2B_1X_VK00                                                                                                                             			ECN038929ISZ        	4K5796  			A                             			55220764  	002	6872	2579	UG_7552207641_4K5796_250312.xml
ISZ	2	CAR76898	7551982350	WELD_CRUSH BOX,RH                                 	CAR76898	001	1	YOUSETSU                      				                                                  	                              	CAR76898                                                                                                                                              				4K5796  			A                             			55220764  	002	6871	2580	UG_7552207641_4K5796_250312.xml
ISZ	1	8978449210	7552207640	BOX ASM;FRAME,FRONT,CRUSH,LH                      	97844921	002	1	N/A                           				                                                  	                              	897844921_UPC;2B_1X_VK00                                                                                                                              			4JKE20              	4K5796  			A                             			55220764  	002	6878	2581	UG_7552207641_4K5796_250312.xml
ISZ	2	9091140700	8978449210	NUT;WELD,PROJECTION,TYPE D                        	94005387	003	2	S45C,S48C,S50C                				                                                  	                              	909114070,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220764  	002	6886	2582	UG_7552207641_4K5796_250312.xml
ISZ	2	9091140680	8978449210	NUT;WELD,PROJECTION,TYPE D                        	94009468	004	1	S45C,S48C,S50C                				                                                  	                              	909114068,ISD-C12-001                                                                                                                                 				4K5796  			A                             			55220764  	002	6883	2583	UG_7552207641_4K5796_250312.xml
