DATA_SOURCE_CODE	レベル	部品番号	親部品番号	部品名称	PART_NO	PART_REV	員数	材質	板厚	重量	モデル重量	コンポーネント名	モデル名	DESCRIPTION	サフィックス	UPC	EC_NUMBERS	設通NO	採用年月日	リリース年月日	変更区分	先行区分	部品支給区分	TOP_ASM_NO	TOP_ASM_REV	件数	ソートレベル	ENGDAT
ISZ	0	7552207620	          	FRAME ASM                                         	55220762	002	1	N/A                           				                                                  	                              	755220762 VK04_NKR1SN_-FF0_F-WB_4JZ1_MT_SR6_8PZ_RS6_3C/M TL;1046_F59_SMT_5.3t_TEMP;BNK40006                                                           				4K5796  			A                             			55220762  	002	5879	2171	UG_7552207621_4K5796_250312.xml
ISZ	1	9067510300	7552207620	RIVET;RD-HD,CHAM-PNT                              	94004980	001	2	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K5796  			A                             			55220762  	002	5880	2172	UG_7552207621_4K5796_250312.xml
ISZ	1	55194326	7552207620	BRKT;CAB EARTH                                    	55194326	002	1	N/A                           				                                                  	                              	755194326                                                                                                                                             			4JKG95              	4K5796  			A                             			55220762  	002	5882	2173	UG_7552207621_4K5796_250312.xml
ISZ	2	55202303	55194326	BRACKET                                           	55202303	001	1	JSH270C                       				                                                  	                              	CAS51186                                                                                                                                              				4K5796  			A                             			55220762  	002	5886	2174	UG_7552207621_4K5796_250312.xml
ISZ	2	0911105080	55194326	NUT;HEXAGON,METRIC                                	94011995	002	1	S45C,S48C,S50C                				                                                  	                              	091110508 ISD-C10-501 M8x1.25                                                                                                                         				4K5796  			A                             			55220762  	002	5883	2175	UG_7552207621_4K5796_250312.xml
ISZ	2	CAS46155	55194326	NO_PNO_BRKT                                       	CAS46155	001	1	JSH270C                       				                                                  	                              	CAS46155                                                                                                                                              				4K5796  			A                             			55220762  	002	5884	2176	UG_7552207621_4K5796_250312.xml
ISZ	2	CAS46157	55194326	WELD                                              	CAS46157	001	1	N/A                           				                                                  	                              	CAS46157                                                                                                                                              			4JKG95              	4K5796  			A                             			55220762  	002	5885	2177	UG_7552207621_4K5796_250312.xml
ISZ	2	CAS46160	55194326	NO_PNO_BRKT                                       	CAS46160	001	1	JSH270C                       				                                                  	                              	CAS46160                                                                                                                                              				4K5796  			A                             			55220762  	002	5887	2178	UG_7552207621_4K5796_250312.xml
ISZ	1	0209514300	7552207620	BOLT;HEX-HD,FULL THREAD                           	94012445	001	10	ASMnB422H                     				                                                  	                              	020951430 ISD-C01-503 M14x1.5                                                                                                                         				4K5796  		2-Dec-02	A                             			55220762  	002	5898	2179	UG_7552207621_4K5796_250312.xml
ISZ	1	CAS39001	7552207620	WELD_ARC;BRKT CAB EARTH,RH                        	CAS39001	001	1	YOUSETSU                      				                                                  	                              	NO_PNO VK00_1X_SMBR;T4.0                                                                                                                              				4K5796  			A                             			55220762  	002	5888	2180	UG_7552207621_4K5796_250312.xml
ISZ	1	8972799940	7552207620	CROSSMEMBER ASM;3RD,UPR                           	97279994	001	1	N/A                           				                                                  	                              	897279994 DWG_897841366Z VK00 STD700_4X2 W/O_PAINT                                                                                                    				4K5796  			A                             			55220762  	002	5899	2181	UG_7552207621_4K5796_250312.xml
ISZ	2	9067510240	8972799940	RIVET;RD-HD,CHAM-PNT                              	94006174	001	9	S12C,SWCH12A,-K               				                                                  	                              	906751024 ISD-E01-001 d10xL24                                                                                                                         				4K5796  		00-Jan-0000	A                             			55220762  	002	5910	2182	UG_7552207621_4K5796_250312.xml
ISZ	2	8978417071	8972799940	CROSSMEMBER;3RD,UPR                               	97841707	002	1	JSH590R-OP                    				                                                  	                              	897841707 VK00 LWF700 STD700_4X2                                                                                                                      				4K5796  			A                             			55220762  	002	5900	2183	UG_7552207621_4K5796_250312.xml
ISZ	2	8978417191	8972799940	PLATE;3RD C/MBR,UPR                               	97841719	002	1	JSH440W-OP                    				                                                  	                              	897841719 DWG_897841718Z VK00 700W                                                                                                                    				4K5796  			A                             			55220762  	002	5901	2184	UG_7552207621_4K5796_250312.xml
ISZ	1	9067510220	7552207620	RIVET;RD-HD,CHAM-PNT                              	94004978	001	4	S12,SWCH12A-SWCH12K           				                                                  	                              	906751022 ISD-E01-001 d10XL22                                                                                                                         				4K5796  		00-Jan-0	A                             			55220762  	002	5918	2185	UG_7552207621_4K5796_250312.xml
ISZ	1	9067510260	7552207620	RIVET;RD-HD,CHAM-PNT                              	94004979	001	1	S12C,SWCH12A,-K               				                                                  	                              	906751026 ISD-E01-001 d10xL26                                                                                                                         				4K5796  			A                             			55220762  	002	5916	2186	UG_7552207621_4K5796_250312.xml
ISZ	1	9067510300	7552207620	RIVET;RD-HD,CHAM-PNT                              	94004980	001	1	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K5796  			A                             			55220762  	002	5919	2187	UG_7552207621_4K5796_250312.xml
ISZ	1	9067508260	7552207620	RIVET;RD-HD,CHAM-PNT                              	94006173	001	2	S12C,SWCH12A,-K               				                                                  	                              	906750826 ISD-E01-001 d8xL26                                                                                                                          				4K5796  		00-Jan-0000	A                             			55220762  	002	5912	2188	UG_7552207621_4K5796_250312.xml
ISZ	1	0913700080	7552207620	NUT;SELF LOCK,HEX                                 	94012028	002	2	S45C,S48C,S50C                				                                                  	                              	091370008 ISD-C10-500 M8x1.25                                                                                                                         				4K5796  		5-Dec-03	A                             			55220762  	002	5921	2189	UG_7552207621_4K5796_250312.xml
ISZ	1	8982436050	7552207620	BRACKET;RR SPRING FRT                             	98243605	001	1	N/A                           				                                                  	                              	898243605 UPC=2B DWG_898243576Z                                                                                                                       				4K5796  			A                             			55220762  	002	5913	2190	UG_7552207621_4K5796_250312.xml
ISZ	1	BQH39019	7552207620	WELD;CRUSH BOX,1X_4X2                             	BQH39019	006	1	YOUSETSU                      				                                                  	                              	1X_4X2                                                                                                                                                				4K5796  			A                             			55220762  	002	5922	2191	UG_7552207621_4K5796_250312.xml
ISZ	1	CAG19134	7552207620	WELD_ARC;FRAME,FT T5.3 4X2 1X                     	CAG19134	001	1	YOUSETSU                      				                                                  	                              	VK00 T5.3 4X2 1X                                                                                                                                      				4K5796  			A                             			55220762  	002	5923	2192	UG_7552207621_4K5796_250312.xml
ISZ	1	7551982350	7552207620	BOX ASM;FRAME,FRONT,CRUSH,RH                      	55198235	001	1	N/A                           				                                                  	                              	755198235_UPC;2B_1X_VK00_DWG_897846029Z                                                                                                               			4JKE20              	4K5796  			A                             			55220762  	002	5924	2193	UG_7552207621_4K5796_250312.xml
ISZ	2	55198234	7551982350	PLATE;REAR,CRUSH BOX                              	55198234	001	1	JSH440W-OP                    				                                                  	                              	55198232                                                                                                                                              				4K5796  			A                             			55220762  	002	5932	2194	UG_7552207621_4K5796_250312.xml
